emp_id,name,department,salary,age,hire_date
1,Employee 1,IT,50000,25,2020-01-01
2,Employee 2,HR,45000,26,2020-01-31
3,Employee 3,Finance,55000,27,2020-03-01
4,Employee 4,Sales,60000,28,2020-03-31
5,Employee 5,Marketing,48000,29,2020-04-30
6,Employee 6,IT,50000,30,2020-05-30
7,Employee 7,HR,45000,31,2020-06-29
8,Employee 8,Finance,55000,32,2020-07-29
9,Employee 9,Sales,60000,33,2020-08-28
10,Employee 10,Marketing,48000,34,2020-09-27
11,Employee 11,IT,50000,25,2020-10-27
12,Employee 12,HR,45000,26,2020-11-26
13,Employee 13,Finance,55000,27,2020-12-26
14,Employee 14,Sales,60000,28,2021-01-25
15,Employee 15,Marketing,48000,29,2021-02-24
16,Employee 16,IT,50000,30,2021-03-26
17,Employee 17,HR,45000,31,2021-04-25
18,Employee 18,Finance,55000,32,2021-05-25
19,Employee 19,Sales,60000,33,2021-06-24
20,Employee 20,Marketing,48000,34,2021-07-24
21,Employee 21,IT,50000,25,2021-08-23
22,Employee 22,HR,45000,26,2021-09-22
23,Employee 23,Finance,55000,27,2021-10-22
24,Employee 24,Sales,60000,28,2021-11-21
25,Employee 25,Marketing,48000,29,2021-12-21
26,Employee 26,IT,50000,30,2022-01-20
27,Employee 27,HR,45000,31,2022-02-19
28,Employee 28,Finance,55000,32,2022-03-21
29,Employee 29,Sales,60000,33,2022-04-20
30,Employee 30,Marketing,48000,34,2022-05-20
31,Employee 31,IT,50000,25,2022-06-19
32,Employee 32,HR,45000,26,2022-07-19
33,Employee 33,Finance,55000,27,2022-08-18
34,Employee 34,Sales,60000,28,2022-09-17
35,Employee 35,Marketing,48000,29,2022-10-17
36,Employee 36,IT,50000,30,2022-11-16
37,Employee 37,HR,45000,31,2022-12-16
38,Employee 38,Finance,55000,32,2023-01-15
39,Employee 39,Sales,60000,33,2023-02-14
40,Employee 40,Marketing,48000,34,2023-03-16
41,Employee 41,IT,50000,25,2023-04-15
42,Employee 42,HR,45000,26,2023-05-15
43,Employee 43,Finance,55000,27,2023-06-14
44,Employee 44,Sales,60000,28,2023-07-14
45,Employee 45,Marketing,48000,29,2023-08-13
46,Employee 46,IT,50000,30,2023-09-12
47,Employee 47,HR,45000,31,2023-10-12
48,Employee 48,Finance,55000,32,2023-11-11
49,Employee 49,Sales,60000,33,2023-12-11
50,Employee 50,Marketing,48000,34,2024-01-10
